Date,Timestamp,Scr_IP,Scr_port,Des_IP,Des_port,Protocol,Service,Duration,Scr_bytes,Des_bytes,Conn_state,missed_bytes,is_syn_only,Is_SYN_ACK,is_pure_ack,is_with_payload,FIN or RST,Bad_checksum,is_SYN_with_RST,Scr_pkts,Scr_ip_bytes,Des_pkts,Des_ip_bytes,anomaly_alert,total_bytes,total_packet,paket_rate,byte_rate,Scr_packts_ratio,Des_pkts_ratio,Scr_bytes_ratio,Des_bytes_ratio,Avg_user_time,Std_user_time,Avg_nice_time,Std_nice_time,Avg_system_time,Std_system_time,Avg_iowait_time,Std_iowait_time,Avg_ideal_time,Std_ideal_time,Avg_tps,Std_tps,Avg_rtps,Std_rtps,Avg_wtps,Std_wtps,Avg_ldavg_1,Std_ldavg_1,Avg_kbmemused,Std_kbmemused,Avg_num_Proc/s,Std_num_proc/s,Avg_num_cswch/s,std_num_cswch/s,OSSEC_alert,OSSEC_alert_level,Login_attempt,Succesful_login,File_activity,Process_activity,read_write_physical.process,is_privileged,class1,class2,class3
9/01/2020,1578540956,192.168.2.199,49278,192.168.2.10,80,tcp,http,0.67369,13437,34924,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,105,18905,105,40392,TRUE,107658,210,311.7160712,159803.4704,0.5,0.5,0.300414275,0.699585725,9207,5.55584206,10994,1.356305275,4864,1.873004004,311,0.224653066,74624,8.245611196,12297,10.38585004,8,10.50714043,4297,2.723578712,2146,0.102781321,915852.8,2507.97563,5.1,3.238826948,2806.2,158.7493622,1,5,0,0,0,0,0,0,Scanning_vulnerability,Reconnaissance,Attack
13/01/2020,1578871873,10.0.1.5,39769,131.236.3.92,53,udp,dns,0.000083,78,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,134,0,0,FALSE,212,2,24096.38554,2554216867,1,0,1,0,12326,6.674247823,2895,1.604302029,3778,2.099741889,2741,5.327471164,78263,8.869399134,6.6,5.713142743,0,0,6.6,5.713142743,612,0.037629775,910498.4,4044.112046,1,0.894427191,1561.6,247.0802299,0,0,0,0,0,0,0,0,Normal,Normal,Normal
9/01/2020,1578522486,172.24.1.80,59050,172.24.1.1,53,udp,dns,0.000132,38,38,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,66,1,66,FALSE,208,2,15151.51515,1575757576,0.5,0.5,0.5,0.5,6931,6.416007248,706,0.408905857,1693,0.771635277,2423,3.829809525,88245,7.112108337,37.4,40.19004852,30.1,39.79811553,7.3,3.1,0.55,0.02,921020.4,2139.652645,1,0,1603.3,294.1390997,0,0,0,0,0,0,0,0,Normal,Normal,Normal
27/02/2020,1582757640,192.168.2.196,37966,192.168.2.10,1880,tcp,websocket,9.378481,1121,484,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,8,1545,6,804,FALSE,3954,14,1.492779055,421.6034558,0.571428571,0.428571429,0.67425392,0.32574608,10244,7.932040343,1965,1.514168088,3941,1.709055002,509,0.425522032,83339,10.20608686,29,26.57442379,23.3,26.12680616,5.7,6.229767251,708,26,915874.8,977.8851466,7.2,5.325410782,1685.3,467.8737116,0,0,1,1,1,1,1,1,Normal,Normal,Normal
16/12/2019,1576452612,172.24.1.80,38233,172.24.1.1,53,udp,dns,0.000074,-,-,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,5181,5.980458929,2365,1.284462923,2415,1.401151312,1803,4.478256469,88239,8.090017862,9.8,1.326649916,0.1,0.3,9.7,1.268857754,536,0.030066593,918213.2,2342.93836,0.6,0.489897949,1456.5,346.8847791,0,0,0,0,0,0,0,0,Normal,Normal,Normal
31/01/2020,1580452611,192.168.10.155,50502,192.168.2.10,80,tcp,http,5.153928,460,671,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,12,1560,10,1878,FALSE,4569,22,4.268588929,886.5083098,0.545454545,0.454545455,0.442109871,0.557890129,10579,6.866914081,3273,2.366140528,2638,1.040920746,279,0.210829315,83233,9.57921192,19.3,18.42308335,8.8,10.20588066,10.5,13.52959719,524,28,910370.8,4006.8817,0.9,0.538516481,1366.9,304.0626416,0,0,0,0,0,0,1,0,Normal,Normal,Normal
12/12/2019,1576100087,172.24.1.80,39649,172.24.1.1,53,udp,dns,0.000119,37,37,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,65,1,65,FALSE,204,2,16806.72269,1714285714,0.5,0.5,0.5,0.5,2.47,4.589873637,2292,1.712418173,2552,0.949187021,504,1.098446175,92183,5.98835712,10.3,7.523961722,5.1,6.425729531,5.2,5.035871325,0.44,0.02,907108,2995.482465,1,0,1185.5,188.0756497,0,0,0,0,0,0,0,0,Normal,Normal,Normal
21/02/2020,1582241330,172.24.1.34,52195,172.24.1.1,53,udp,dns,0.000184,36,36,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,64,1,64,FALSE,200,2,10869.56522,1086956522,0.5,0.5,0.5,0.5,3383,4.935094832,2.54,1.288479724,1.55,0.870022988,3067,6.536162559,89.46,8.080808128,7.8,9.293008124,0.1,0.3,7.7,9.055937279,789,0.060406953,915681.2,1241.033182,0.8,0.979795897,1339.9,251.7949364,0,0,0,0,0,0,0,0,Normal,Normal,Normal
16/12/2019,1576468008,172.24.1.80,41286,172.24.1.1,53,udp,dns,0.00013,37,37,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,65,1,65,FALSE,204,2,15384.61538,1569230769,0.5,0.5,0.5,0.5,8146,10.61579785,2326,1.94666484,2381,1.553534358,354,0.232860473,86794,13.15019863,22.9,19.80631213,19,19.49871791,3.9,1.920937271,782,0.022715633,919336.4,2146.495153,0.8,0.748331477,1228,193.0518065,0,0,0,0,0,0,0,0,Normal,Normal,Normal
24/02/2020,1582504530,172.24.1.244,45487,172.24.1.1,5683,udp,coap,13.427916,1124,72,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,1180,1,100,FALSE,2476,3,0.22341516,184.3919786,0.666666667,0.333333333,0.930533118,0.069466882,26044,5.775391242,2099,2.483761059,11473,3.38152643,0.18,0.164012195,60207,11.00407111,6,3.660601044,0.8,1.661324773,5.2,3.762977544,2355,15,917234.4,2977.174069,3,8.35463943,16289.3,1792.577923,0,0,0,0,0,0,1,0,RDOS,RDOS,Attack
13/01/2020,1578873665,172.24.1.213,3467,161.69.36.37,80,tcp,http,3.011189,0,0,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,104,0,0,FALSE,104,2,0.664189461,34.53785199,1,0,1,0,11505,9.762795962,1795,0.970775463,3669,1.543239774,2928,7.63063536,80104,14.57230538,22.4,20.32338554,8.9,17.13154984,13.5,12.53195914,624,0.110109037,912787.6,3127.432404,1.2,0.748331477,1519.4,185.3910462,0,0,0,0,0,0,0,0,Normal,Normal,Normal
9/01/2020,1578542271,192.168.2.199,42465,192.168.2.10,1880,tcp,websocket,0.003863,-,-,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-,-,-,-,FALSE,-,-,-,-,-,-,-,-,10855,6.1557928,12885,3.10968246,8039,2.830075794,2735,5.399111501,65484,10.61643462,18.8,16.52150114,7.5,8.546929273,11.3,12.81444497,913,21,914442.8,1957.066417,13.8,7.997499609,2889.6,717.9822003,0,0,0,0,0,0,0,0,Scanning_vulnerability,Reconnaissance,Attack
7/01/2020,1578374749,192.168.2.199,46817,192.168.2.10,1082,tcp,other,0.000024,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,44,1,40,FALSE,84,2,83333.33333,3500000,0.5,0.5,0.523809524,0.476190476,4545,3.269040379,1267,1.020020098,2226,1.46528632,1876,4.622759349,90088,8.405126769,23.2,16.46693657,10,12.41772926,13.2,11.2409964,0.25,0.075498344,916409.6,2182.073289,2.5,4.863126566,1402.3,340.045894,0,0,0,0,0,0,0,0,Generic_scanning,Reconnaissance,Attack
16/12/2019,1576628508,192.168.10.155,40728,192.168.2.10,80,tcp,http,5.332363,414,19402,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,16,1254,18,20346,FALSE,41416,34,6.376160063,7766.913093,0.470588235,0.529411765,0.04027429,0.95972571,3662,4.019380052,2688,2.389291945,2276,1.283450038,5471,12.72223365,85904,15.4595454,17578,16.32944445,12081,13.88636198,5497,6.022049568,505,25,917190.8,1831.920566,1,0.632455532,3763.3,3346.347025,0,0,0,0,0,0,1,0,Normal,Normal,Normal
4/02/2020,1580748403,192.168.10.153,52339,192.168.2.10,80,tcp,http,6.498687,918,20072,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,15,1542,20,21555,FALSE,44087,35,5.385703297,6783.98575,0.428571429,0.571428571,0.055798762,0.944201238,8764,5.975031715,2389,1.121823961,2716,1.34349693,3425,8.340182552,82.7,13.17924049,13.3,8.922443611,0,0,13.3,8.922443611,777,0.068563839,917990.4,1366.914423,0.4,0.489897949,1279.9,248.0981459,0,0,0,0,0,0,1,0,Normal,Normal,Normal
16/12/2019,1576453114,192.168.10.155,40562,192.168.2.10,80,tcp,http,6.809328,959,886,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,7,1331,6,1206,FALSE,4382,13,1.909145807,643.5289943,0.538461538,0.461538462,0.522592424,0.477407576,6345,8.593606053,3354,1.738661554,2673,1.99920009,4397,8.04358757,83.23,12.17753259,17.7,7.071774883,4.6,4.841487375,13.1,6.007495318,0.65,0.14,916869.2,1874.373751,0.6,0.489897949,1352.3,260.6722271,0,0,0,0,0,0,1,0,Normal,Normal,Normal
